run_id,repeat_index,angle_deg,angle_rad,speed_m_s,pre_length_m,post_length_m,total_distance_m,measured_time_s,measured_energy_wh,turn_time_s,turn_energy_wh,mean_power_w,battery_voltage_mean_v,battery_current_mean_a,valid_energy_intervals,sample_count,valid
40f05007_02_30_outbound,2,30.0,0.5235987755982988,2.5,30.0,30.0,60.0,31.306215661999886,2.7083938214227854,0.07660651949997543,0.007479278881959317,312.49731663933574,16.339997581018807,19.124728053522567,312,313,True
40f05007_02_30_inbound,2,-30.0,-0.5235987755982988,2.5,30.0,30.0,60.0,31.301766660999874,2.7083578324366173,0.07215751849996366,0.0074432898957912386,312.5035879860325,16.338895426009792,19.126389372463045,312,313,True
40f05007_02_45_outbound,2,45.0,0.7853981633974483,2.5,30.0,30.0,60.0,31.0579407109999,2.691362454483045,-0.17166843150000943,-0.009552088057781294,312.54118296845104,16.34071133604387,19.126591151933578,310,311,True
40f05007_02_45_inbound,2,-45.0,-0.7853981633974483,2.5,30.0,30.0,60.0,31.071905845999936,2.691392257935896,-0.1577032964999745,-0.009522284604929876,312.54221985159785,16.34050236177598,19.126880523092876,310,311,True
40f05007_02_60_outbound,2,60.0,1.0471975511965976,2.5,30.0,30.0,60.0,31.312776938999832,2.707979135951839,0.08316779649992156,0.007064593411012954,312.45904328945625,16.339799509261745,19.122619342499267,312,313,True
40f05007_02_60_inbound,2,-60.0,-1.0471975511965976,2.5,30.0,30.0,60.0,30.30702506999978,2.6218608783279906,-0.9225840725001291,-0.07905366421283544,312.52327198365657,16.33997110801168,19.126336195287927,302,303,True
40f05007_02_90_outbound,2,90.0,1.5707963267948966,2.5,30.0,30.0,60.0,31.04885136699977,2.6901279601933115,-0.18075777550014038,-0.010786582347514617,312.3926459912405,16.34093320791361,19.117234233107983,310,311,True
40f05007_02_90_inbound,2,-90.0,-1.5707963267948966,2.5,30.0,30.0,60.0,31.071387851999134,2.681959772431442,-0.1582212905007765,-0.018954770109384178,312.456738501908,16.3404846314461,19.121676937226326,309,310,True
40f05007_02_120_outbound,2,120.0,2.0943951023931953,2.5,30.0,30.0,60.0,31.069210249999742,2.681393923470793,-0.1603988925001687,-0.019520619070032996,312.38267361241856,16.340023305339198,19.11767700564477,309,310,True
40f05007_02_120_inbound,2,-120.0,-2.0943951023931953,2.5,30.0,30.0,60.0,32.07480782699986,2.776434974690762,0.8451986844999482,0.07552043214993587,312.342972989534,16.339829370611554,19.115482502637253,320,321,True
40f05007_02_150_outbound,2,150.0,2.6179938779914944,2.5,30.0,30.0,60.0,31.054249389999313,2.68957696202554,-0.1753597525005972,-0.011337580515286216,312.31234208418607,16.341042546214016,19.112186008710953,310,311,True
40f05007_02_150_inbound,2,-150.0,-2.6179938779914944,2.5,30.0,30.0,60.0,31.321191337000528,2.7069291497391768,0.09158219450061722,0.006014607198350674,312.3265249819907,16.34081862452693,19.113322291511317,312,313,True
40f05007_02_180_outbound,2,180.0,3.141592653589793,2.5,30.0,30.0,60.0,31.315016407000257,2.706495798382442,0.08540726450034697,0.005581255841615729,312.28002858239626,16.34033944126897,19.11102194984119,312,313,True
40f05007_02_180_inbound,2,-180.0,-3.141592653589793,2.5,30.0,30.0,60.0,31.312178071000744,2.706595576741607,0.08256892850083375,0.005681034200780921,312.29233681792084,16.339505533821665,19.11274721066411,312,313,True
40f05007_03_0_outbound,3,0.0,0.0,2.5,30.0,30.0,60.0,31.0692428250004,2.6824477080792684,-0.16036631749950914,-0.018466834461557724,312.51361457399275,16.339120194219774,19.126741538509247,309,310,True
40f05007_03_0_inbound,3,-0.0,-0.0,2.5,30.0,30.0,60.0,31.065382180000597,2.6911236820776594,-0.16422696249931334,-0.009790860463166684,312.50550838312614,16.338627763116474,19.126816323332463,310,311,True
40f05007_03_15_outbound,3,15.0,0.2617993877991494,2.5,30.0,30.0,60.0,31.06308160000026,2.6908722396796083,-0.16652754249965085,-0.010042302861217767,312.4846115596438,16.340885039694438,19.12292574302943,310,311,True
40f05007_03_15_inbound,3,-15.0,-0.2617993877991494,2.5,30.0,30.0,60.0,31.07441014699998,2.6823552327321636,-0.15519899549993,-0.018559309808662494,312.5026064904147,16.340603976095878,19.12435439940422,309,310,True
40f05007_03_30_outbound,3,30.0,0.5235987755982988,2.5,30.0,30.0,60.0,31.31152014500003,2.7083787717185386,0.08191100250012084,0.0074642291777125,312.50287274674037,16.33985383518207,19.1252391802998,312,313,True
40f05007_03_30_inbound,3,-30.0,-0.5235987755982988,2.5,30.0,30.0,60.0,31.321592561000216,2.7084134049307766,0.09198341850030545,0.007498862389950567,312.49595436848244,16.338716452114117,19.12613371462106,312,313,True
40f05007_03_45_outbound,3,45.0,0.7853981633974483,2.5,30.0,30.0,60.0,31.06471929899999,2.691005654762018,-0.16488984349992108,-0.009908887778808051,312.49580598228965,16.340897869833796,19.123600864717048,310,311,True
40f05007_03_45_inbound,3,-45.0,-0.7853981633974483,2.5,30.0,30.0,60.0,31.283140548999654,2.7083739299102767,0.05353140649974364,0.007459387369450621,312.4933811450472,16.34030752821852,19.124120986499726,312,313,True
40f05007_03_60_outbound,3,60.0,1.0471975511965976,2.5,30.0,30.0,60.0,31.56510617100048,2.7335842472720073,0.33549702850056917,0.03266970473118125,312.3973728595238,16.340415302711197,19.118132494672945,315,316,True
40f05007_03_60_inbound,3,-60.0,-1.0471975511965976,2.5,30.0,30.0,60.0,30.281206530000418,2.6218745000120256,-0.9484026124994926,-0.07904004252880048,312.51497973178965,16.339703783343726,19.12613812059459,302,303,True
40f05007_03_90_outbound,3,90.0,1.5707963267948966,2.5,30.0,30.0,60.0,31.303217755999867,2.707478345289365,0.07360861349995673,0.0065638027485390715,312.3935158282138,16.34041287114445,19.11789095211334,312,313,True
40f05007_03_90_inbound,3,-90.0,-1.5707963267948966,2.5,30.0,30.0,60.0,31.560793742999522,2.7332540074102436,0.3311846004996113,0.03233946486941752,312.35727856529604,16.340377373031423,19.11572735219062,315,316,True
40f05007_03_120_outbound,3,120.0,2.0943951023931953,2.5,30.0,30.0,60.0,31.317923458000223,2.707625381385528,0.08831431550031255,0.006710838844702138,312.40530444053104,16.339186055972554,19.1200314847806,312,313,True
40f05007_03_120_inbound,3,-120.0,-2.0943951023931953,2.5,30.0,30.0,60.0,30.311051087000124,2.6214361601668448,-0.918558055499787,-0.0794783823739813,312.478957523861,16.339479339398174,19.124190975730567,302,303,True
40f05007_03_150_outbound,3,150.0,2.6179938779914944,2.5,30.0,30.0,60.0,32.06700581000041,2.7675912722119347,0.8373966675004993,0.0666767296711086,312.31365146392386,16.339638268947603,19.113905811309813,319,320,True
40f05007_03_150_inbound,3,-150.0,-2.6179938779914944,2.5,30.0,30.0,60.0,31.3097048059999,2.7073302731509967,0.0800956634999892,0.006415730610170645,312.3757238918606,16.340237218351028,19.116996436073375,312,313,True
40f05007_03_180_outbound,3,180.0,3.141592653589793,2.5,30.0,30.0,60.0,31.31996502199945,2.7069835114178895,0.09035587949954049,0.00606896887706343,312.3296748017361,16.33946399262157,19.115079434915852,312,313,True
40f05007_03_180_inbound,3,-180.0,-3.141592653589793,2.5,30.0,30.0,60.0,30.298334888999307,2.620446881689837,-0.9312742535006038,-0.08046766085098911,312.3672435795015,16.339865517694957,19.116897192725254,302,303,True
