run_id,geometry_id,repeat_index,seed,target_distance_m,total_distance_m,waypoint_count,stop_count,speed_m_s,altitude_m,total_flight_time_s,total_flight_energy_wh,mean_power_w,battery_voltage_mean_v,battery_current_mean_a,valid_energy_intervals,sample_count,valid
f42a50ab_geometry_0061_01,geometry_0061,1,1419179580,224.86720208098046,224.86720208098043,2,2,2.5,13.0,136.8872600900013,11.06465441949394,290.9604841897645,16.280689593385482,17.899159554846534,1368,1369,True
f42a50ab_geometry_0062_01,geometry_0062,1,1196050747,162.26497916937427,162.2649791693743,2,2,2.5,13.0,111.89158939399931,8.913151004772379,286.7356928323836,16.318595045906182,17.603046937691676,1118,1119,True
f42a50ab_geometry_0063_01,geometry_0063,1,568275055,202.94984393883533,202.94984393883536,7,7,2.5,13.0,143.89839239100002,11.687936054799975,292.38825658273686,16.269334338455252,17.99871394316497,1438,1439,True
f42a50ab_geometry_0064_01,geometry_0064,1,2030106617,235.3570253218083,235.35702532180832,7,7,2.5,13.0,156.8920358129999,12.769626866526954,292.9822069801045,16.25150301138864,18.053785409419834,1568,1569,True
f42a50ab_geometry_0065_01,geometry_0065,1,1748309234,205.53910788652053,205.53910788652053,3,3,2.5,13.0,132.88824721700075,10.653582439208241,288.58174877684536,16.288887919475478,17.7460116664378,1328,1329,True
f42a50ab_geometry_0066_01,geometry_0066,1,1851350739,95.09212743870116,95.09212743870114,3,3,2.5,13.0,88.89103296299982,6.8574001741468145,277.6874216370081,16.35970498418647,17.01415035074118,888,889,True
f42a50ab_geometry_0067_01,geometry_0067,1,2005855667,156.9953217148686,156.99532171486862,4,4,2.5,13.0,115.8888405810012,9.239534218580957,286.98883178178414,16.312875647293893,17.624606979077132,1158,1159,True
f42a50ab_geometry_0068_01,geometry_0068,1,422701550,226.99564077407283,226.99564077407285,8,8,2.5,13.0,156.89665861899994,12.75804753183772,292.7065210725079,16.251855475800745,18.03673636069945,1568,1569,True
f42a50ab_geometry_0069_01,geometry_0069,1,1457293575,144.419405136363,144.419405136363,2,2,2.5,13.0,104.8894143739999,8.24976945552697,283.3857659974452,16.332037070325313,17.386287781758277,1047,1048,True
f42a50ab_geometry_0070_01,geometry_0070,1,1067970820,233.36028174493396,233.36028174493396,8,8,2.5,13.0,158.88890884600005,13.014534238879865,294.8527203939088,16.246348795761772,18.173580457830933,1588,1589,True
f42a50ab_geometry_0071_01,geometry_0071,1,1926780541,110.43342535052984,110.43342535052983,3,3,2.5,13.0,94.88816970900007,7.403200757818542,280.8348153759394,16.34792073232733,17.216153425202794,948,949,True
f42a50ab_geometry_0072_01,geometry_0072,1,1196342297,147.50106237350468,147.50106237350468,3,3,2.5,13.0,108.88948769299896,8.643921191504772,285.74567733500203,16.323669289973374,17.537961015414492,1088,1089,True
f42a50ab_geometry_0073_01,geometry_0073,1,323775634,149.97677374585206,149.97677374585206,5,5,2.5,13.0,115.88980249700035,9.275500636639972,288.10613458657485,16.311404594375308,17.69399442339864,1158,1159,True
f42a50ab_geometry_0074_01,geometry_0074,1,420514789,216.96266936780432,216.96266936780432,5,5,2.5,13.0,143.8899686140012,11.616490646322996,290.6110532528012,16.271755475646675,17.887581258742987,1438,1439,True
f42a50ab_geometry_0075_01,geometry_0075,1,63384488,184.34318303976352,184.34318303976352,2,2,2.5,13.0,120.88781687600022,9.655524628041007,287.5055296388462,16.305953638725185,17.6627787963924,1208,1209,True
f42a50ab_geometry_0076_01,geometry_0076,1,1015242176,228.21871728130043,228.21871728130043,2,2,2.5,13.0,137.88767677100077,11.159646142494905,291.3295240351877,16.27886589581418,17.92356013559599,1378,1379,True
f42a50ab_geometry_0077_01,geometry_0077,1,2067418686,145.02624927239552,145.0262492723955,3,3,2.5,13.0,108.88786154399895,8.6016150773355,284.3488988539385,16.325389205260052,17.45156069303101,1088,1089,True
f42a50ab_geometry_0078_01,geometry_0078,1,251837136,218.34406304483448,218.3440630448345,3,3,2.5,13.0,136.89093394500014,11.059491152990995,290.82479173619686,16.28079478874792,17.89089075916762,1368,1369,True
f42a50ab_geometry_0079_01,geometry_0079,1,1676848676,140.63569903630656,140.63569903630656,3,3,2.5,13.0,106.89344560099926,8.414788284151392,283.3655591845381,16.329255224500894,17.387997766170855,1068,1069,True
f42a50ab_geometry_0080_01,geometry_0080,1,1954246074,229.418602592544,229.41860259254398,4,4,2.5,13.0,144.8938906610001,11.723579045615452,291.25576462724206,16.269726798647927,17.92897814676793,1448,1449,True
f42a50ab_geometry_0081_01,geometry_0081,1,2090237817,156.91307798258345,156.91307798258345,4,4,2.5,13.0,115.88948341099967,9.261297982898546,287.66583090688647,16.3120284092848,17.666487867811355,1158,1159,True
f42a50ab_geometry_0082_01,geometry_0082,1,935018220,110.38365876282194,110.38365876282194,3,3,2.5,13.0,94.89022059000126,7.367942749078796,279.4986039447,16.349639386095664,17.133540136733725,948,949,True
f42a50ab_geometry_0083_01,geometry_0083,1,261810763,172.668846530601,172.668846530601,2,2,2.5,13.0,115.89038749500105,9.215516246140014,286.2435505374036,16.314015460076057,17.577937504429308,1158,1159,True
f42a50ab_geometry_0084_01,geometry_0084,1,215359682,190.5795463034205,190.57954630342053,7,7,2.5,13.0,138.8887969819989,11.270244727473074,292.1000191027482,16.2761677947295,17.973923296953938,1388,1389,True
f42a50ab_geometry_0085_01,geometry_0085,1,676168421,189.77169764245775,189.77169764245778,6,6,2.5,13.0,134.89093729399974,10.876543373668026,290.2457669887034,16.283832506217983,17.8528090833988,1348,1349,True
f42a50ab_geometry_0086_01,geometry_0086,1,344076115,233.72462452391207,233.7246245239121,2,2,2.5,13.0,139.89464009999938,11.328265231941469,291.48916391062204,16.27610869063404,17.936218305383733,1398,1399,True
f42a50ab_geometry_0087_01,geometry_0087,1,291889680,200.91959812707472,200.91959812707472,8,8,2.5,13.0,145.88900602600006,11.82604479629095,291.7987650573385,16.267347607733534,17.96499614322059,1458,1459,True
f42a50ab_geometry_0088_01,geometry_0088,1,1734202799,230.05098254184932,230.0509825418493,7,7,2.5,13.0,153.88934350800082,12.560242902773679,293.80603489634916,16.2543789675826,18.10097426670598,1538,1539,True
f42a50ab_geometry_0089_01,geometry_0089,1,1057486868,230.6553803566543,230.6553803566543,2,2,2.5,13.0,139.88844412100116,11.292854066709975,290.59318133462494,16.277248817482022,17.8804498748951,1398,1399,True
f42a50ab_geometry_0090_01,geometry_0090,1,352116052,201.07383873921037,201.07383873921034,6,6,2.5,13.0,139.88738704299976,11.280445013690057,290.2731525240621,16.277261716285036,17.861393424921307,1398,1399,True
f42a50ab_geometry_0091_01,geometry_0091,1,1358798143,198.88477973670268,198.88477973670268,5,5,2.5,13.0,135.88789413800077,10.97391119297683,290.69762551137467,16.28202504599419,17.882059892561394,1358,1359,True
