run_id,geometry_id,repeat_index,seed,target_distance_m,total_distance_m,waypoint_count,stop_count,speed_m_s,altitude_m,total_flight_time_s,total_flight_energy_wh,mean_power_w,battery_voltage_mean_v,battery_current_mean_a,valid_energy_intervals,sample_count,valid,source_file,source_repeat_index
72ab671e_geometry_0036_01,geometry_0036,1,272849424,224.6630982478237,224.66309824782363,8,8,2.5,13.0,155.88417968799877,12.679870177982004,292.7983934892833,16.252968711681746,18.04121190860791,1558,1559,True,smoke_test1.csv,1
72ab671e_geometry_0037_01,geometry_0037,1,2010258946,165.7943143807844,165.7943143807844,5,5,2.5,13.0,122.88526661700053,9.85000040404268,288.52552889573474,16.301709503347645,17.729503212525433,1228,1229,True,smoke_test1.csv,1
72ab671e_geometry_0038_01,geometry_0038,1,49310608,168.13575551825406,168.1357555182541,6,6,2.5,13.0,126.88325765099944,10.156771429893809,288.13302089132344,16.296972450635113,17.71070093806566,1268,1269,True,smoke_test1.csv,1
72ab671e_geometry_0039_01,geometry_0039,1,1146005448,219.891970993934,219.89197099393408,7,7,2.5,13.0,150.88369206700008,12.254154248510774,292.3438533970238,16.260243971352548,18.00561917705043,1508,1509,True,smoke_test1.csv,1
72ab671e_geometry_0040_01,geometry_0040,1,479112937,222.7661663318308,222.7661663318308,8,8,2.5,13.0,154.88485660100014,12.58327383628757,292.44334108030705,16.254776759483185,18.01748826631794,1548,1549,True,smoke_test1.csv,1
72ab671e_geometry_0001_02,geometry_0001,3,1181241943,176.015836907929,176.01583690792893,7,7,2.5,13.0,133.88393752000047,10.7770563647669,289.74724210404435,16.285727457469573,17.820656794078143,1338,1339,True,smoke_test1.csv,2
72ab671e_geometry_0002_02,geometry_0002,3,440213415,115.71371810381164,115.71371810381166,3,3,2.5,13.0,95.883967183001,7.517585930951408,282.20152654414625,16.344879818658757,17.30182435933784,958,959,True,smoke_test1.csv,2
72ab671e_geometry_0003_02,geometry_0003,2,373399426,221.32807761607268,221.32807761607268,7,7,2.5,13.0,150.8842732009998,12.310733617791955,293.6937051374738,16.258454740560946,18.08980736983205,1508,1509,True,smoke_test1.csv,2
72ab671e_geometry_0004_02,geometry_0004,2,127978094,184.504494689786,184.50449468978596,6,6,2.5,13.0,132.88409917599893,10.706921506713174,290.0268615903224,16.286698291856062,17.83650824593547,1328,1329,True,smoke_test1.csv,2
72ab671e_geometry_0005_02,geometry_0005,2,113971123,114.98207596857654,114.98207596857652,2,2,2.5,13.0,92.88318394499947,7.260285937517122,281.3423246010494,16.349943735884388,17.244542098468806,928,929,True,smoke_test1.csv,2
72ab671e_geometry_0006_02,geometry_0006,2,1801823908,163.08841446591825,163.08841446591822,6,6,2.5,13.0,124.883590509,9.996750878091165,288.1346850710368,16.29949958501958,17.708166101218175,1248,1249,True,smoke_test1.csv,2
72ab671e_geometry_0007_02,geometry_0007,2,1194819984,151.87344740541658,151.87344740541656,3,3,2.5,13.0,110.88348129199947,8.82961512910843,286.62144299263593,16.319910613559625,17.594886898168095,1108,1109,True,smoke_test1.csv,2
72ab671e_geometry_0008_02,geometry_0008,2,685731524,233.7264153980608,233.72641539806085,8,8,2.5,13.0,158.88303440600066,12.95940241105346,293.6031520523265,16.247981878704362,18.095587960142545,1588,1589,True,smoke_test1.csv,2
72ab671e_geometry_0009_02,geometry_0009,2,1193448329,198.42823666705215,198.4282366670522,7,7,2.5,13.0,140.884038143,11.446105222417634,292.44587879394425,16.273090197398698,17.998289163735336,1408,1409,True,smoke_test1.csv,2
72ab671e_geometry_0010_02,geometry_0010,2,1445662585,114.4502019372142,114.4502019372142,3,3,2.5,13.0,95.88459082200096,7.473371611208961,280.5390777907823,16.34707897174346,17.198998535504494,958,959,True,smoke_test1.csv,2
72ab671e_geometry_0011_02,geometry_0011,2,415393687,94.83933494082366,94.83933494082363,2,2,2.5,13.0,84.8851449349986,6.53193653546311,276.9685587770793,16.365791168033162,16.964475390767884,848,849,True,smoke_test1.csv,2
72ab671e_geometry_0012_02,geometry_0012,2,1136108454,218.03918875403423,218.0391887540342,4,4,2.5,13.0,140.8831043609989,11.358153139896013,290.19840243505496,16.276218653909698,17.857614912996908,1408,1409,True,smoke_test1.csv,2
72ab671e_geometry_0013_02,geometry_0013,2,1973214822,194.08562126030867,194.08562126030867,8,8,2.5,13.0,143.88320241400106,11.647996688513654,291.4001566492516,16.270525455806222,17.937275508507994,1438,1439,True,smoke_test1.csv,2
72ab671e_geometry_0014_02,geometry_0014,2,1625792787,155.9833116339081,155.9833116339081,6,6,2.5,13.0,120.88809741600016,9.705508316547691,288.9846928761576,16.30359963763342,17.755615773922752,1208,1209,True,smoke_test1.csv,2
72ab671e_geometry_0015_02,geometry_0015,2,1553210608,168.32650100371632,168.32650100371632,2,2,2.5,13.0,114.88451257999986,9.104263856889768,285.2488708746188,16.316481189379182,17.514934337637133,1148,1149,True,smoke_test1.csv,2
72ab671e_geometry_0016_02,geometry_0016,2,298737106,162.45970466463936,162.45970466463936,6,6,2.5,13.0,123.88392847299838,9.939997371133927,288.8113627460078,16.300009663591855,17.748805043868618,1238,1239,True,smoke_test1.csv,2
72ab671e_geometry_0017_02,geometry_0017,2,1242911821,185.8021309708336,185.8021309708336,2,2,2.5,13.0,120.88391551600034,9.685016034674726,288.38565796436217,16.304735276795697,17.71741066312277,1208,1209,True,smoke_test1.csv,2
72ab671e_geometry_0018_02,geometry_0018,2,433797840,216.8508353624235,216.8508353624235,2,2,2.5,13.0,133.88286529799916,10.743714775971348,288.850633871299,16.287259951556592,17.763830819665895,1338,1339,True,smoke_test1.csv,2
72ab671e_geometry_0019_02,geometry_0019,2,1566942273,153.35683237321106,153.35683237321103,5,5,2.5,13.0,117.88492142799988,9.435104481646636,288.0926015820947,16.308754819848964,17.69583504138304,1178,1179,True,smoke_test1.csv,2
72ab671e_geometry_0020_02,geometry_0020,2,899825838,139.22895473870122,139.22895473870125,3,3,2.5,13.0,105.88379054699908,8.39599187373845,285.4136521912412,16.32794600640748,17.51346511475397,1058,1059,True,smoke_test1.csv,2
72ab671e_geometry_0021_02,geometry_0021,2,306671447,187.22240318753617,187.22240318753617,7,7,2.5,13.0,137.88408764200176,11.125144139081977,290.4292043875988,16.279612084071303,17.868614510598608,1378,1379,True,smoke_test1.csv,2
72ab671e_geometry_0022_02,geometry_0022,2,1051454923,204.95791566691776,204.9579156669178,6,6,2.5,13.0,141.8829464650007,11.493758497881029,291.5946648237279,16.272993719518983,17.946327985724444,1418,1419,True,smoke_test1.csv,2
72ab671e_geometry_0023_02,geometry_0023,2,1159417075,153.9616338961785,153.9616338961785,3,3,2.5,13.0,111.884187484,8.83671755969702,284.2886137032589,16.321574482990226,17.45166177234019,1118,1119,True,smoke_test1.csv,2
72ab671e_geometry_0024_02,geometry_0024,2,943239974,217.5476610071985,217.54766100719849,7,7,2.5,13.0,149.88477550700009,12.171418684572854,292.307319934233,16.261497098020588,18.001954235340293,1498,1499,True,smoke_test1.csv,2
72ab671e_geometry_0025_02,geometry_0025,2,240251661,191.3483568779032,191.3483568779032,7,7,2.5,13.0,138.88431925199984,11.244759858403498,291.4393608505178,16.27692734929106,17.932836183354183,1388,1389,True,smoke_test1.csv,2
72ab671e_geometry_0026_02,geometry_0026,2,1354860540,211.48841504108933,211.48841504108933,3,3,2.5,13.0,134.8853636240001,10.83041164064207,289.0232679661244,16.285692421394952,17.776181950160005,1348,1349,True,smoke_test1.csv,2
72ab671e_geometry_0027_02,geometry_0027,2,906164396,152.12890511708434,152.12890511708437,5,5,2.5,13.0,117.88390369599983,9.38116969111542,286.4458338747491,16.31087522854534,17.593875728844584,1178,1179,True,smoke_test1.csv,2
72ab671e_geometry_0028_02,geometry_0028,2,1351531223,228.1312921413762,228.1312921413762,6,6,2.5,13.0,150.8833920069992,12.2634110608793,292.5647265584038,16.259925909276195,18.019230875083554,1508,1509,True,smoke_test1.csv,2
72ab671e_geometry_0029_02,geometry_0029,2,1699226064,184.8701864471808,184.8701864471808,3,3,2.5,13.0,123.88472117099992,9.950566116880978,289.1185300264774,16.29984503585163,17.76715858455047,1238,1239,True,smoke_test1.csv,2
72ab671e_geometry_0030_02,geometry_0030,2,1137651678,201.03733338629272,201.03733338629277,7,7,2.5,13.0,142.8844003209997,11.55692370772981,291.14563402641454,16.272218399902087,17.919901557115512,1428,1429,True,smoke_test1.csv,2
72ab671e_geometry_0031_02,geometry_0031,2,1128466620,119.46040123103737,119.46040123103737,3,3,2.5,13.0,97.88314108200213,7.669777690842496,282.03161908049225,16.342483935487646,17.293850456456727,978,979,True,smoke_test1.csv,2
72ab671e_geometry_0032_02,geometry_0032,2,1715412119,210.09019129609493,210.09019129609493,7,7,2.5,13.0,146.8844726899988,11.94543156740503,292.73812484418653,16.264903456114684,18.02462861414585,1468,1469,True,smoke_test1.csv,2
72ab671e_geometry_0033_02,geometry_0033,2,594130308,127.5821893186488,127.5821893186488,4,4,2.5,13.0,104.88408075599727,8.241665907505661,282.83851533689733,16.332343026043915,17.353135917786762,1048,1049,True,smoke_test1.csv,2
72ab671e_geometry_0034_02,geometry_0034,2,202363285,191.37752014940455,191.3775201494046,6,6,2.5,13.0,135.88383489600164,11.001827528940549,291.43633324148874,16.28101035897744,17.928233615867658,1358,1359,True,smoke_test1.csv,2
72ab671e_geometry_0035_02,geometry_0035,2,687117441,197.26315825683164,197.2631582568316,8,8,2.5,13.0,144.88437500700093,11.7286654048237,291.39340029536595,16.269197461356615,17.93828804849591,1448,1449,True,smoke_test1.csv,2
72ab671e_geometry_0036_02,geometry_0036,2,272849424,224.6630982478237,224.66309824782363,8,8,2.5,13.0,155.88403370000017,12.698778655535184,293.2340839349645,16.252367690100435,18.068395965843152,1558,1559,True,smoke_test1.csv,2
72ab671e_geometry_0037_02,geometry_0037,2,2010258946,165.7943143807844,165.7943143807844,5,5,2.5,13.0,122.8846818359998,9.848550647629184,288.48339619118605,16.301737101704635,17.726907619089495,1228,1229,True,smoke_test1.csv,2
72ab671e_geometry_0038_02,geometry_0038,2,49310608,168.13575551825406,168.1357555182541,6,6,2.5,13.0,125.88342855799785,10.141046177647013,289.97200045312235,16.295949963182565,17.823534123664626,1258,1259,True,smoke_test1.csv,2
72ab671e_geometry_0039_02,geometry_0039,2,1146005448,219.891970993934,219.89197099393408,7,7,2.5,13.0,150.88540362999993,12.250412861733608,292.2543458556538,16.260415625145612,18.000006195046673,1508,1509,True,smoke_test1.csv,2
72ab671e_geometry_0040_02,geometry_0040,2,479112937,222.7661663318308,222.7661663318308,8,8,2.5,13.0,154.88663139799974,12.58851935717993,292.56581667434546,16.25465796946556,18.025119007109943,1548,1549,True,smoke_test1.csv,2
72ab671e_geometry_0001_03,geometry_0001,4,1181241943,176.015836907929,176.01583690792893,7,7,2.5,13.0,132.88317966500108,10.705782723316148,289.99667134879337,16.286668946816565,17.83482277052487,1328,1329,True,smoke_test1.csv,3
72ab671e_geometry_0002_03,geometry_0002,4,440213415,115.71371810381164,115.71371810381166,3,3,2.5,13.0,95.88405181000051,7.518712325800051,282.2427100038376,16.344848585079063,17.3043583060641,958,959,True,smoke_test1.csv,3
72ab671e_geometry_0003_03,geometry_0003,3,373399426,221.32807761607268,221.32807761607268,7,7,2.5,13.0,150.88272007699925,12.30237969636693,293.49457669317724,16.258699932818857,18.07736868886777,1508,1509,True,smoke_test1.csv,3
72ab671e_geometry_0004_03,geometry_0004,3,127978094,184.504494689786,184.50449468978596,6,6,2.5,13.0,133.88600885100095,10.761168487993436,289.31983160558974,16.286300268878325,17.793920459293936,1338,1339,True,smoke_test1.csv,3
72ab671e_geometry_0005_03,geometry_0005,3,113971123,114.98207596857654,114.98207596857652,2,2,2.5,13.0,92.88398635600242,7.227895440948303,280.0881532041228,16.3515432971671,17.167093247592256,928,929,True,smoke_test1.csv,3
72ab671e_geometry_0006_03,geometry_0006,3,1801823908,163.08841446591825,163.08841446591822,6,6,2.5,13.0,124.8835728160011,10.039466419054529,289.36588939432994,16.297963943359278,17.784595276519145,1248,1249,True,smoke_test1.csv,3
72ab671e_geometry_0007_03,geometry_0007,3,1194819984,151.87344740541658,151.87344740541656,3,3,2.5,13.0,109.883860836002,8.743638215875093,286.4134418467784,16.321445723682018,17.58070023243296,1098,1099,True,smoke_test1.csv,3
72ab671e_geometry_0008_03,geometry_0008,3,685731524,233.7264153980608,233.72641539806085,8,8,2.5,13.0,159.88399248199858,13.033294926796922,293.43055046869057,16.246868200343872,18.08620974747668,1598,1599,True,smoke_test1.csv,3
72ab671e_geometry_0009_03,geometry_0009,3,1193448329,198.42823666705215,198.4282366670522,7,7,2.5,13.0,140.88438214599955,11.451133272941275,292.5749073575344,16.27291561205223,18.006287707725765,1408,1409,True,smoke_test1.csv,3
72ab671e_geometry_0010_03,geometry_0010,3,1445662585,114.4502019372142,114.4502019372142,3,3,2.5,13.0,95.8847900610017,7.471465893670161,280.4692884383488,16.34716238791552,17.194692005703423,958,959,True,smoke_test1.csv,3
72ab671e_geometry_0011_03,geometry_0011,3,415393687,94.83933494082366,94.83933494082363,2,2,2.5,13.0,84.88271950099806,6.550418595255013,277.753299632911,16.36480881159662,17.012861809755805,848,849,True,smoke_test1.csv,3
72ab671e_geometry_0012_03,geometry_0012,3,1136108454,218.03918875403423,218.0391887540342,4,4,2.5,13.0,140.88423818700176,11.351741897874868,290.03513612488626,16.27646850033632,17.847451612596565,1408,1409,True,smoke_test1.csv,3
72ab671e_geometry_0013_03,geometry_0013,3,1973214822,194.08562126030867,194.08562126030867,8,8,2.5,13.0,143.88396953499978,11.647405695153132,291.3855767391278,16.270586594348984,17.93633731889012,1438,1439,True,smoke_test1.csv,3
72ab671e_geometry_0014_03,geometry_0014,3,1625792787,155.9833116339081,155.9833116339081,6,6,2.5,13.0,121.88361525499931,9.773159550444548,288.6228824662648,16.302776000263066,17.73447863313876,1218,1219,True,smoke_test1.csv,3
